eda_mean_microsiemens,eda_std,hrv_rmssd_ms,hrv_lf_hf_ratio,skin_temp_slope,acc_magnitude_g,physiological_state
1.969,0.179,53.4,0.74,0.0032,1.04,Baseline
2.282,0.176,37.7,1.69,-0.0001,0.96,Baseline
2.008,0.293,54.8,1.48,0.0022,0.95,Baseline
1.463,0.277,27.9,1.06,-0.0029,0.98,Baseline
4.141,0.728,24.7,2.14,-0.0085,1.24,Stress
1.219,0.327,51.0,1.14,-0.0001,0.97,Baseline
7.476,1.238,28.2,1.55,0.0211,1.52,Physical_Exertion
6.018,0.841,29.9,2.89,0.042,2.48,Physical_Exertion
1.756,0.35,60.2,1.0,-0.0029,1.02,Baseline
2.215,0.149,57.9,0.99,-0.0004,0.88,Baseline
1.689,0.278,48.7,1.12,-0.0015,1.02,Baseline
4.24,0.612,36.0,3.36,-0.023,1.1,Stress
2.069,0.251,38.1,1.4,-0.0011,0.98,Baseline
7.665,0.86,25.7,1.48,-0.0131,0.92,Stress
1.298,0.173,69.2,1.33,-0.0003,1.02,Baseline
3.78,0.828,28.4,3.38,-0.0152,1.1,Stress
1.619,0.259,54.1,0.78,-0.0008,1.0,Baseline
2.255,0.185,42.9,1.12,0.0002,1.01,Baseline
7.38,1.506,27.2,1.89,0.0196,2.92,Physical_Exertion
6.239,0.737,26.6,3.68,-0.0175,1.09,Stress
1.205,0.254,45.7,0.76,-0.0007,0.97,Baseline
5.668,0.768,39.7,2.76,0.0105,3.09,Physical_Exertion
3.527,0.971,27.6,2.82,-0.0209,1.17,Stress
4.141,1.382,40.8,2.56,0.0532,2.18,Physical_Exertion
5.649,0.779,35.4,2.8,-0.0219,1.18,Stress
1.554,0.087,49.8,1.29,0.0028,1.01,Baseline
2.459,0.091,50.6,1.01,-0.0002,1.0,Baseline
2.145,0.164,56.4,1.09,-0.0019,0.99,Baseline
4.328,0.767,28.2,2.85,-0.0222,1.18,Stress
3.097,0.656,44.7,2.18,-0.0268,1.12,Stress
0.761,0.181,76.5,0.64,-0.004,0.93,Baseline
2.249,0.29,49.9,1.3,0.0028,1.09,Baseline
5.63,0.51,25.4,1.99,0.0274,2.39,Physical_Exertion
7.678,1.582,30.6,2.75,0.0336,2.54,Physical_Exertion
5.588,0.814,40.3,1.94,-0.0226,1.04,Stress
2.02,0.301,54.8,0.67,0.0017,1.04,Baseline
0.829,0.2,39.1,0.9,-0.0018,1.04,Baseline
1.858,0.097,63.8,0.67,0.0007,0.96,Baseline
5.451,1.351,36.2,2.87,0.0292,2.68,Physical_Exertion
1.581,0.215,59.4,1.07,-0.0036,1.02,Baseline
4.937,0.664,20.3,3.69,-0.0175,1.03,Stress
1.231,0.134,68.0,1.14,-0.0011,1.03,Baseline
3.523,1.1,36.1,2.52,-0.0231,0.79,Stress
2.722,0.532,28.8,2.6,-0.0267,1.02,Stress
6.758,1.358,16.8,2.14,0.0162,3.04,Physical_Exertion
2.192,0.128,47.3,0.96,-0.0045,1.02,Baseline
1.664,0.278,44.0,0.91,-0.003,0.95,Baseline
1.209,0.28,48.0,1.14,-0.0008,0.94,Baseline
5.748,1.38,22.3,2.6,0.0215,2.21,Physical_Exertion
6.796,1.001,32.3,2.04,0.0313,1.07,Physical_Exertion
2.304,0.923,34.2,2.25,-0.0212,1.08,Stress
5.332,0.394,22.7,2.6,-0.0165,1.3,Stress
4.226,0.519,30.4,3.59,-0.0195,0.96,Stress
2.279,0.253,44.7,1.21,0.002,1.06,Baseline
5.9,1.093,41.8,1.59,0.0344,1.68,Physical_Exertion
2.333,0.179,67.7,1.25,-0.0024,1.07,Baseline
2.576,0.271,47.4,1.01,0.0003,0.96,Baseline
6.531,0.829,11.8,3.0,-0.0217,1.04,Stress
1.616,0.265,66.2,1.18,-0.0007,1.0,Baseline
1.81,0.136,60.8,1.24,0.0031,1.06,Baseline
3.677,0.964,22.3,3.22,-0.0226,0.95,Stress
1.94,0.01,37.5,1.05,0.0002,0.98,Baseline
2.605,0.636,30.3,3.15,-0.0201,1.17,Stress
1.999,0.14,52.2,0.68,-0.0002,1.06,Baseline
2.143,0.312,52.0,1.5,-0.0004,1.07,Baseline
1.789,0.257,69.8,1.04,0.0004,1.06,Baseline
1.733,0.094,76.4,0.96,0.0003,1.06,Baseline
3.77,0.598,29.5,1.72,-0.0214,1.07,Stress
1.665,0.077,70.9,1.13,0.0029,0.99,Baseline
3.444,0.854,26.7,2.09,-0.0127,0.99,Stress
2.292,1.066,25.0,2.44,-0.0288,1.22,Stress
2.953,0.812,33.5,3.05,-0.0203,0.88,Stress
4.785,1.256,25.7,2.3,0.0368,3.08,Physical_Exertion
3.029,1.239,32.6,2.8,-0.0146,1.29,Stress
1.081,0.182,31.2,1.16,0.0007,1.0,Baseline
1.473,0.036,58.7,1.54,-0.0012,1.02,Baseline
1.016,0.237,51.1,0.87,-0.0015,0.98,Baseline
4.959,0.538,25.6,2.78,-0.0255,1.23,Stress
1.373,0.146,45.2,1.64,0.0011,0.95,Baseline
5.827,0.84,29.5,2.59,-0.0237,1.08,Stress
3.846,1.163,20.4,3.72,-0.0206,1.08,Stress
2.217,0.15,63.6,0.29,-0.0014,0.95,Baseline
2.996,0.757,30.3,3.22,-0.0188,0.98,Stress
1.985,0.21,64.4,1.33,0.0001,0.96,Baseline
1.474,0.156,51.8,1.18,0.0014,1.0,Baseline
4.519,0.829,24.9,2.24,-0.0288,0.98,Stress
5.068,0.659,26.6,3.08,-0.0174,0.94,Stress
5.696,1.025,21.2,2.31,-0.014,1.04,Stress
0.69,0.088,52.5,0.75,-0.0008,1.0,Baseline
2.531,0.177,65.7,1.53,0.0029,1.01,Baseline
3.055,1.338,40.4,2.16,0.0474,3.02,Physical_Exertion
5.182,1.017,30.0,1.3,-0.0225,1.17,Stress
3.531,0.755,21.7,3.87,-0.0116,0.96,Stress
1.874,0.146,61.1,1.25,0.0016,1.02,Baseline
8.022,0.594,17.7,2.56,-0.0278,0.9,Stress
1.299,0.126,45.5,1.26,-0.001,0.99,Baseline
2.247,0.139,52.4,1.21,-0.0039,0.88,Baseline
6.519,1.348,48.5,2.28,0.0382,2.38,Physical_Exertion
1.949,0.333,33.8,1.22,0.0043,1.01,Baseline
8.476,1.011,31.7,2.22,0.0078,1.8,Physical_Exertion
1.252,0.266,63.7,1.2,0.0016,0.99,Baseline
